url, status_code
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=234, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=235, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=236, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=237, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=238, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=239, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=240, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=241, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=242, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=243, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=244, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=245, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=246, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=247, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=248, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=249, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=250, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=251, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=252, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=253, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=254, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=255, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=256, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=257, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=258, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=259, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=260, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=261, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=262, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=263, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=264, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=265, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=266, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=267, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=268, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=269, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=270, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=271, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=272, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=273, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=274, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=275, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=276, 200
